borough_code,borough_name,permit_description,serv_order,permit_count,year
1,NEW YORK,PERMIT-TAP,POTAP,710,2019
1,NEW YORK,SEWER PERMIT-INSTALL,POSIN,198,2019
1,NEW YORK,SEWER PERMIT-PLUG,POSPL,146,2019
1,NEW YORK,SEWER PERMIT-CTCH BASIN/MAN,POSCA,12,2019
1,NEW YORK,SEWER PERMIT-CTCH BASIN/,POSCA,2,2019
1,NEW YORK,SEWER PERMIT-PRIVATE,POSPR,1,2019
2,BRONX,PERMIT-TAP,POTAP,421,2019
2,BRONX,SEWER PERMIT-INSTALL,POSIN,158,2019
2,BRONX,SEWER PERMIT-PLUG,POSPL,130,2019
2,BRONX,SEWER PERMIT-CTCH BASIN/MAN,POSCA,3,2019
2,BRONX,SEWER PERMIT-CTCH BASIN/,POSCA,1,2019
2,BRONX,SEWER PERMIT-PRIVATE,POSPR,2,2019
3,BROOKLYN,PERMIT-TAP,POTAP,1816,2019
3,BROOKLYN,SEWER PERMIT-INSTALL,POSIN,717,2019
3,BROOKLYN,SEWER PERMIT-PLUG,POSPL,429,2019
3,BROOKLYN,SEWER PERMIT-CTCH BASIN/MAN,POSCA,19,2019
3,BROOKLYN,SEWER PERMIT-CTCH BASIN/,POSCA,4,2019
3,BROOKLYN,SEWER PERMIT-PRIVATE,POSPR,1,2019
4,QUEENS,PERMIT-TAP,POTAP,1066,2019
4,QUEENS,SEWER PERMIT-INSTALL,POSIN,526,2019
4,QUEENS,SEWER PERMIT-PLUG,POSPL,315,2019
4,QUEENS,SEWER PERMIT-CTCH BASIN/MAN,POSCA,10,2019
4,QUEENS,SEWER PERMIT-CTCH BASIN/,POSCA,0,2019
4,QUEENS,SEWER PERMIT-PRIVATE,POSPR,4,2019
5,STATEN ISLAND,PERMIT-TAP,POTAP,463,2019
5,STATEN ISLAND,SEWER PERMIT-INSTALL,POSIN,335,2019
5,STATEN ISLAND,SEWER PERMIT-PLUG,POSPL,91,2019
5,STATEN ISLAND,SEWER PERMIT-CTCH BASIN/MAN,POSCA,8,2019
5,STATEN ISLAND,SEWER PERMIT-CTCH BASIN/,POSCA,0,2019
5,STATEN ISLAND,SEWER PERMIT-PRIVATE,POSPR,0,2019
